Manager	Package	Version	ReleaseDate	Dependencies
conda	libtiff	4.4.0	2022-05-30	jpeg;lerc;libcxx;libdeflate;libgcc-ng;libstdcxx-ng;libwebp-base;libzlib;vc;vs2015_runtime;xz;zstd
conda	libuuid	2.41.3	2025-12-20	
conda	libxcb	1.17.0	2024-09-25	
conda	libxml2	2.9.10	2019-10-30	icu;libgcc-ng;libiconv;vc;vs2015_runtime;xz;zlib
conda	libzlib	1.2.13	2022-10-14	
conda	make	4.4.1	2024-08-23	
conda	ncurses	6.5	2024-05-08	
conda	openssl	1.1.1w	2023-09-11	
conda	packaging	26.0	2026-01-22	
conda	pango	1.42.4	2019-07-05	cairo;fontconfig;freetype;fribidi;glib;harfbuzz;libgcc-ng;libglib;libpng;vc;vs2015_runtime
conda	pcre2	10.43	2024-02-16	
conda	pcre	8.45	2021-06-15	libcxx;libgcc-ng;libstdcxx-ng;vc;vs2015_runtime
conda	pip	26.0.1	2026-02-05	
conda	pixman	0.38.0	2019-04-08	libgcc-ng;vc
conda	pthread-stubs	0.4	2018-03-18	libgcc-ng;m2w64-gcc-libs
conda	readline	8.3	2025-12-15	
conda	sed	4.9	2025-05-06	
conda	setuptools	82.0.0	2026-02-09	
conda	sysroot_linux-64	2.39	2025-11-16	
conda	tk	8.6.13	2023-09-23	
conda	tktable	2.10	2019-07-15	libgcc-ng;tk
conda	tzdata	2025c	2025-12-14	
conda	wheel	0.46.3	2026-01-23	
conda	xorg-libice	1.1.2	2024-12-15	
conda	xorg-libsm	1.2.6	2025-03-13	
conda	xorg-libx11	1.8.13	2026-02-11	
conda	xorg-libxau	1.0.12	2024-12-15	
conda	xorg-libxdmcp	1.1.5	2024-10-01	
conda	xorg-libxext	1.3.7	2026-01-26	
conda	xorg-libxrender	0.9.12	2024-12-15	
conda	xz	5.2.6	2022-08-12	libgcc-ng;vc;vs2015_runtime
conda	zlib	1.2.13	2022-10-14	
conda	zstd	1.5.6	2024-05-03	
