Manager	Package	Version	ReleaseDate	Dependencies
bioc-conda	bioconductor-hdf5array	1.14.0	2019-11-01	bioconductor-biocgenerics;bioconductor-delayedarray;bioconductor-iranges;bioconductor-rhdf5;bioconductor-rhdf5lib;bioconductor-s4vectors;libgcc-ng;r-base;r-matrix
bioc-conda	bioconductor-impute	1.60.0	2019-11-01	libgcc-ng;libgfortran;libgfortran-ng;r-base
bioc-conda	bioconductor-iranges	2.20.0	2019-11-01	bioconductor-biocgenerics;bioconductor-s4vectors;libgcc-ng;r-base
bioc-conda	bioconductor-limma	3.42.0	2019-11-01	libgcc-ng;r-base
bioc-conda	bioconductor-parathyroidse	1.24.0	2019-11-06	bioconductor-summarizedexperiment;curl;r-base
bioc-conda	bioconductor-pasilla	1.14.0	2019-11-06	curl;r-base
bioc-conda	bioconductor-rhdf5	2.30.0	2019-11-01	bioconductor-rhdf5lib;libcxx;libgcc-ng;libstdcxx-ng;r-base
bioc-conda	bioconductor-rhdf5lib	1.8.0	2019-11-01	libgcc-ng;r-base
bioc-conda	bioconductor-rhtslib	1.18.0	2019-11-07	bioconductor-zlibbioc;bzip2;libcurl;libgcc-ng;r-base;xz
bioc-conda	bioconductor-rsamtools	2.2.0	2019-11-01	bioconductor-biocgenerics;bioconductor-biocparallel;bioconductor-biostrings;bioconductor-genomeinfodb;bioconductor-genomicranges;bioconductor-iranges;bioconductor-rhtslib;bioconductor-s4vectors;bioconductor-xvector;bioconductor-zlibbioc;libcxx;libgcc-ng;libstdcxx-ng;r-base;r-bitops
bioc-conda	bioconductor-rtracklayer	1.46.0	2019-11-02	bioconductor-biocgenerics;bioconductor-biostrings;bioconductor-genomeinfodb;bioconductor-genomicalignments;bioconductor-genomicranges;bioconductor-iranges;bioconductor-rsamtools;bioconductor-s4vectors;bioconductor-xvector;bioconductor-zlibbioc;libgcc-ng;r-base;r-rcurl;r-xml
bioc-conda	bioconductor-s4vectors	0.24.0	2019-11-01	bioconductor-biocgenerics;libgcc-ng;r-base
bioc-conda	bioconductor-summarizedexperiment	1.16.0	2019-11-02	bioconductor-biobase;bioconductor-biocgenerics;bioconductor-delayedarray;bioconductor-genomeinfodb;bioconductor-genomicranges;bioconductor-iranges;bioconductor-s4vectors;r-base;r-matrix
bioc-conda	bioconductor-xvector	0.26.0	2019-11-01	bioconductor-biocgenerics;bioconductor-iranges;bioconductor-s4vectors;bioconductor-zlibbioc;libgcc-ng;r-base
bioc-conda	bioconductor-zlibbioc	1.32.0	2019-11-01	libgcc-ng;r-base
